date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-01-08,17:54,NW 12 G 18,10.00,A Few Clouds,FEW055 FEW250,46.9,34,46.9,35.1,61%,42,,30.14,1020.4,,,
2026-01-08,18:54,NW 9,10.00,Partly Cloudy,FEW055 SCT250,46.9,33.1,,,59%,43,,30.15,1020.8,,,
2026-01-08,19:54,NW 10,10.00,Partly Cloudy,SCT033 SCT250,46.9,34,,,61%,43,,30.17,1021.6,,,
2026-01-08,20:54,W 10,10.00,A Few Clouds,FEW035 FEW250,44.1,32,,,63%,39,,30.19,1022.1,,,
2026-01-08,21:54,W 9,10.00,A Few Clouds,FEW035 FEW250,43,30.9,,,63%,38,,30.21,1023.0,,,
2026-01-08,22:54,W 7,10.00,A Few Clouds,FEW250,42.1,32,,,68%,38,,30.24,1023.9,,,
2026-01-08,23:54,W 6,10.00,A Few Clouds,FEW250,41,32,48,41,70%,38,,30.25,1024.2,,,
2026-01-09,00:54,SW 6,10.00,A Few Clouds,FEW250,37.9,30.9,,,76%,34,,30.26,1024.6,,,
2026-01-09,01:54,Calm,10.00,A Few Clouds,FEW250,39,32,,,76%,,,30.29,1025.6,,,
2026-01-09,02:54,NW 5,10.00,Fair,CLR,37.9,30.9,,,76%,35,,30.32,1026.5,,,
2026-01-09,03:54,W 7,10.00,Fair,CLR,37,30.9,,,79%,32,,30.31,1026.3,,,
2026-01-09,04:54,Calm,10.00,Fair,CLR,35.1,30,,,82%,,,30.31,1026.1,,,
2026-01-09,05:54,Calm,10.00,Fair,CLR,32,30,42.1,30,92%,,,30.32,1026.5,,,
2026-01-09,06:54,Calm,10.00,Fair,CLR,32,30.9,,,96%,,,30.32,1026.7,,,
2026-01-09,07:54,SW 3,10.00,A Few Clouds,FEW250,28.9,28.9,,,100%,,,30.33,1027.1,,,
2026-01-09,08:54,Calm,10.00,A Few Clouds,FEW250,30,28.9,,,96%,,,30.34,1027.3,,,
2026-01-09,09:54,Calm,10.00,A Few Clouds,FEW003 FEW250,30,28.9,,,96%,,,30.33,1026.8,,,
2026-01-09,10:54,S 5,10.00,A Few Clouds,FEW003 FEW250,27,27,,,100%,22,,30.33,1027.1,,,
2026-01-09,11:54,S 3,10.00,Mostly Cloudy,FEW140 BKN250,30,28.9,32,27,96%,,,30.32,1026.7,,,
2026-01-09,12:54,SE 3,10.00,Mostly Cloudy,BKN160 BKN250,30.9,28.9,,,92%,,,30.31,1026.3,,,
2026-01-09,13:54,S 5,10.00,A Few Clouds,FEW003 FEW160 FEW250,33.1,30.9,,,92%,29,,30.32,1026.5,,,
2026-01-09,14:54,S 6,10.00,A Few Clouds,FEW002 FEW160 FEW250,35.1,33.1,,,93%,31,,30.32,1026.6,,,
2026-01-09,15:54,SE 8,10.00,A Few Clouds,FEW030 FEW160 FEW250,37.9,34,,,86%,33,,30.28,1025.3,,,
2026-01-09,16:54,S 15,10.00,Mostly Cloudy,SCT020 SCT140 BKN250,44.1,37.9,,,79%,38,,30.25,1024.1,,,
2026-01-09,17:54,S 16 G 24,10.00,Mostly Cloudy,BKN020 BKN140 BKN250,46,39,46.9,28.9,77%,40,,30.2,1022.7,,,
2026-01-09,18:54,S 17 G 29,10.00,Overcast,OVC022,46.9,39,,,74%,41,,30.17,1021.5,,,
2026-01-09,19:54,S 20,10.00,Overcast,OVC022,46,39,,,77%,39,,30.13,1020.2,,,
2026-01-09,20:54,S 18 G 29,10.00,Overcast,BKN021 OVC070,46,39.9,,,79%,39,,30.11,1019.6,,,
2026-01-09,21:54,S 17 G 25,10.00,Overcast,OVC020,45,41,,,86%,38,,30.09,1018.7,,,
2026-01-09,22:54,S 14,10.00,Overcast,OVC017,45,41,,,86%,39,,30.05,1017.6,,,
2026-01-09,23:54,S 18 G 28,10.00,Light Rain,OVC012,46,43,46.9,45,89%,39,,30.02,1016.3,0.01,,
2026-01-10,00:54,S 20 G 31,10.00,Light Rain,OVC011,46.9,45,,,93%,40,,29.98,1015.1,0.01,,
2026-01-10,01:54,SW 21,10.00,Overcast and Breezy,OVC012,48.9,46.9,,,93%,43,,29.96,1014.4,0.02,,
2026-01-10,02:54,SW 18 G 30,10.00,Overcast,OVC011,50,46.9,,,89%,44,,29.94,1013.9,0.01,0.04,
2026-01-10,03:54,SW 18 G 30,10.00,Overcast,OVC012,52,48.9,,,89%,,,29.95,1014.0,,,
